="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)"
="";="";="";="";="(0.00654)";="(0.00652)";="(0.00651)";="";="(0.00369)";="(0.00398)";="(0.00355)"
="Contractibility X Rule of Law";="";="";="";="0.0399";="0.0295";="0.0297";="";="-0.0734*";="-0.0690";="-0.0750*"
="";="";="";="";="(0.0640)";="(0.0632)";="(0.0635)";="";="(0.0434)";="(0.0438)";="(0.0443)"
="Dispersion";="";="";="";="";="0.0524*";="";="";="";="0.0607***";=""
="";="";="";="";="";="(0.0269)";="";="";="";="(0.0207)";=""
="1(sigma>median)=0 X DUse_TUse";="";="";="";="";="-0.125***";="";="";="";="-0.128***";=""
="";="";="";="";="";="(0.0408)";="";="";="";="(0.0314)";=""
="1(sigma>median)=1 X DUse_TUse";="";="";="";="";="-0.106***";="";="";="";="-0.0833***";=""
="";="";="";="";="";="(0.0399)";="";="";="";="(0.0299)";=""
="1(sigma>median)=1";="";="";="";="";="-0.0170";="";="";="";="-0.0369";=""
="";="";="";="";="";="(0.0331)";="";="";="";="(0.0257)";=""
="External Finance Dependence";="";="";="";="";="-0.00733";="";="";="";="-0.00826";=""
="";="";="";="";="";="(0.0219)";="";="";="";="(0.0148)";=""
="Asset Tangibility";="";="";="";="";="-0.299***";="";="";="";="-0.223**";=""
="";="";="";="";="";="(0.110)";="";="";="";="(0.0947)";=""
="External Finance Dependence X Private Credit / GDP";="";="";="";="";="0.000204*";="0.000194";="";="";="0.000212***";="0.000242***"
="";="";="";="";="";="(0.000124)";="(0.000124)";="";="";="(0.0000772)";="(0.0000800)"
="Asset Tangibility X Private Credit / GDP";="";="";="";="";="0.00130**";="0.00134**";="";="";="0.000422";="0.000650"
="";="";="";="";="";="(0.000594)";="(0.000618)";="";="";="(0.000527)";="(0.000518)"
="Sales Volatility";="";="";="";="";="0.109";="";="";="";="0.105";=""
="";="";="";="";="";="(0.299)";="";="";="";="(0.236)";=""
="Sales Volatility X Labor Market Flexibility";="";="";="";="";="-0.214";="-0.241";="";="";="-0.108";="-0.117"
="";="";="";="";="";="(0.381)";="(0.379)";="";="";="(0.270)";="(0.252)"
="Intermediation";="";="";="";="";="-0.0923";="";="";="";="0.0464";=""
="";="";="";="";="";="(0.123)";="";="";="";="(0.0813)";=""
="Intermediation X Rule of Law";="";="";="";="";="-0.250";="-0.264";="";="";="-0.401***";="-0.361***"
="";="";="";="";="";="(0.171)";="(0.170)";="";="";="(0.123)";="(0.126)"
="Constant";="0.298***";="0.224***";="0.325***";="0.325***";="0.442***";="0.919**";="0.227***";="0.256***";="0.320***";="0.689***"
="";="(0.0445)";="(0.0657)";="(0.0730)";="(0.0730)";="(0.103)";="(0.426)";="(0.0660)";="(0.0641)";="(0.0849)";="(0.244)"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="214";="212";="210";="210";="209";="210";="212";="212";="209";="210"
="Adj. R2";="0.168";="0.169";="0.162";="0.162";="0.188";="0.248";="0.171";="0.173";="0.194";="0.235"
="Observations";="134916";="134219";="36148";="36148";="36130";="36148";="131717";="114777";="103577";="103604"
