="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)"
="log Other Machinery Intensity X log Capital Abundance";="";="";="";="-0.00515";="-0.00740";="-0.00830";="";="0.00618";="-0.000486";="-0.00147"
="";="";="";="";="(0.00823)";="(0.00822)";="(0.00778)";="";="(0.00429)";="(0.00443)";="(0.00443)"
="log Building Intensity X log Capital Abundance";="";="";="";="0.00676";="0.00695";="0.00561";="";="0.00109";="0.00220";="0.00257"
="";="";="";="";="(0.00594)";="(0.00561)";="(0.00527)";="";="(0.00338)";="(0.00316)";="(0.00292)"
="log Auto Intensity X log Capital Abundance";="";="";="";="0.00676";="0.00736*";="0.00578";="";="-0.000669";="0.00173";="0.00136"
="";="";="";="";="(0.00450)";="(0.00415)";="(0.00383)";="";="(0.00218)";="(0.00238)";="(0.00223)"
="log Computer Intensity X log Capital Abundance";="";="";="";="0.000301";="-0.000134";="0.000778";="";="-0.00311";="-0.00206";="-0.00113"
="";="";="";="";="(0.00606)";="(0.00603)";="(0.00592)";="";="(0.00340)";="(0.00353)";="(0.00313)"
="Contractibility X Rule of Law";="";="";="";="0.0495";="0.0273";="0.0296";="";="-0.0499";="-0.0577";="-0.0502"
="";="";="";="";="(0.0650)";="(0.0645)";="(0.0624)";="";="(0.0455)";="(0.0457)";="(0.0457)"
="Dispersion";="";="";="";="";="0.0657**";="";="";="";="0.0733***";=""
="";="";="";="";="";="(0.0256)";="";="";="";="(0.0196)";=""
="1(sigma>median)=0 X DUse_TUse";="";="";="";="";="-0.129***";="";="";="";="-0.135***";=""
="";="";="";="";="";="(0.0439)";="";="";="";="(0.0356)";=""
="1(sigma>median)=1 X DUse_TUse";="";="";="";="";="-0.128***";="";="";="";="-0.102***";=""
="";="";="";="";="";="(0.0378)";="";="";="";="(0.0291)";=""
="1(sigma>median)=1";="";="";="";="";="-0.00122";="";="";="";="-0.0294";=""
="";="";="";="";="";="(0.0345)";="";="";="";="(0.0274)";=""
="External Finance Dependence";="";="";="";="";="-0.0149";="";="";="";="-0.00622";=""
="";="";="";="";="";="(0.0229)";="";="";="";="(0.0165)";=""
="Asset Tangibility";="";="";="";="";="-0.274**";="";="";="";="-0.204**";=""
="";="";="";="";="";="(0.114)";="";="";="";="(0.103)";=""
="External Finance Dependence X Private Credit / GDP";="";="";="";="";="0.000202";="0.000182";="";="";="0.000176**";="0.000209***"
="";="";="";="";="";="(0.000126)";="(0.000124)";="";="";="(0.0000809)";="(0.0000796)"
="Asset Tangibility X Private Credit / GDP";="";="";="";="";="0.00118**";="0.00132**";="";="";="0.000321";="0.000553"
="";="";="";="";="";="(0.000588)";="(0.000614)";="";="";="(0.000517)";="(0.000495)"
="Sales Volatility";="";="";="";="";="0.229";="";="";="";="0.215";=""
="";="";="";="";="";="(0.310)";="";="";="";="(0.247)";=""
="Sales Volatility X Labor Market Flexibility";="";="";="";="";="-0.290";="-0.233";="";="";="-0.178";="-0.125"
="";="";="";="";="";="(0.390)";="(0.378)";="";="";="(0.279)";="(0.252)"
="Intermediation";="";="";="";="";="-0.0289";="";="";="";="0.0853";=""
="";="";="";="";="";="(0.121)";="";="";="";="(0.0828)";=""
="Intermediation X Rule of Law";="";="";="";="";="-0.320*";="-0.329**";="";="";="-0.453***";="-0.419***"
="";="";="";="";="";="(0.171)";="(0.166)";="";="";="(0.125)";="(0.121)"
="Constant";="0.292***";="0.177**";="0.395***";="0.395***";="0.503***";="1.249**";="0.178**";="0.224***";="0.302***";="0.796***"
="";="(0.0575)";="(0.0872)";="(0.0920)";="(0.0919)";="(0.114)";="(0.505)";="(0.0883)";="(0.0854)";="(0.101)";="(0.298)"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="210";="208";="206";="206";="200";="210";="208";="208";="201";="210"
="Adj. R2";="0.161";="0.163";="0.154";="0.154";="0.194";="0.249";="0.164";="0.166";="0.197";="0.236"
="Observations";="128037";="127511";="34565";="34565";="33903";="36093";="125105";="108893";="96663";="103421"
